DataelementID,Period,orgUnitID,categoryOptionComboID,AttributeOptionComboID,Value
kznQBykTtJt,2021Q3,T0UEn5RGbEb,UmKpnaBWKNG,JVafaPfopJf,0
kznQBykTtJt,2021Q3,T0UEn5RGbEb,mR4xiOSrCOb,JVafaPfopJf,0
kznQBykTtJt,2021Q3,T0UEn5RGbEb,Wl6Xe4IRe5N,JVafaPfopJf,0
kznQBykTtJt,2021Q3,T0UEn5RGbEb,B3YJoWLCkue,JVafaPfopJf,0
kznQBykTtJt,2021Q3,T0UEn5RGbEb,XkXgVeD7zWW,JVafaPfopJf,0
kznQBykTtJt,2021Q3,T0UEn5RGbEb,nVgwQTwVWng,JVafaPfopJf,0
kznQBykTtJt,2021Q3,T0UEn5RGbEb,oDCkdeCOlft,JVafaPfopJf,0
kznQBykTtJt,2021Q3,T0UEn5RGbEb,Xv7byNPl3sp,JVafaPfopJf,0
kznQBykTtJt,2021Q3,T0UEn5RGbEb,mKoxFv2cCli,JVafaPfopJf,0
kznQBykTtJt,2021Q3,T0UEn5RGbEb,mGvZHOcps52,JVafaPfopJf,0
kznQBykTtJt,2021Q3,T0UEn5RGbEb,i9oC3RD2uGE,JVafaPfopJf,0
kznQBykTtJt,2021Q3,T0UEn5RGbEb,UBAW8zO2PXf,JVafaPfopJf,0
kznQBykTtJt,2021Q3,T0UEn5RGbEb,CUcChuyrJO2,JVafaPfopJf,0
kznQBykTtJt,2021Q3,T0UEn5RGbEb,WCUwCrmtbTo,JVafaPfopJf,0
kznQBykTtJt,2021Q3,T0UEn5RGbEb,WalMMpT8Ue2,JVafaPfopJf,0
kznQBykTtJt,2021Q3,T0UEn5RGbEb,MEG4maaWoA7,JVafaPfopJf,0
kznQBykTtJt,2021Q3,T0UEn5RGbEb,dsq0QpQMPj0,JVafaPfopJf,0
kznQBykTtJt,2021Q3,T0UEn5RGbEb,FKErASt2t1z,JVafaPfopJf,0
